Store_Name,Attach_Percentage
Delhi(Hauz Khas),0.6220000000000001
Pune(Hadapsar),0.5860000000000001
Pune(Kondhawa),0.414
Delhi(Budh Vihar),0.39
Delhi(Daryaganj),0.386
Pune(Dange Chowk),0.368
Bhiwandi Br,0.362
Delhi(Narela),0.358
Haryana(Mewla M.) Br,0.352
Up(Greater Noida) Br,0.35
Delhi(Defence Enclave-Palam) Br,0.348
Pune(S Bapat Rd),0.33799999999999997
Delhi(Vikas Marg) Br,0.336
Andheri Br,0.33599999999999997
Delhi(Burari),0.33399999999999996
Delhi(Shahdara) Br,0.32
Delhi(Patel Nagar) Br,0.318
Delhi(Paschim Vihar),0.318
Delhi(Model Town Iii) Br,0.312
Up(Raj Nagar Dc) Br,0.3
Delhi(Mahavir Enclave),0.3
Pune(Kothrud) Br,0.298
Pune(Bhosari) Br,0.294
Linking Road Br,0.29
Ts(Bhel),0.29
Goregaon (W) Br,0.29
Ts(Kondapur),0.28400000000000003
Delhi(Karol Bagh) Br,0.27999999999999997
Delhi(Dwarka) Br,0.27999999999999997
Delhi(Durgapuri),0.278
Pune(Chinchwad) Br,0.266
Palghar,0.266
Pune(Nagar Road) Br,0.26
Delhi(Rajouri Garden) Br,0.25999999999999995
Haryana(M G Road) Br,0.252
Pune(Satara Rd) Br,0.252
Delhi(Uttam Nagar) Br,0.246
Delhi(Nangloi),0.244
Prabhadevi Br,0.238
Pune(Baner) Br,0.236
Delhi(Rohini) Br,0.236
Haryana(Sec-65 Ext Gurugram),0.23399999999999999
Sion Br,0.23200000000000004
Borivali Br,0.22999999999999998
Delhi(Kalkaji) Br,0.22600000000000003
Pune(Hinjewadi) Br,0.22400000000000003
Ahmedabad(Bopal),0.22400000000000003
Opera House Br,0.22000000000000003
Up (Noida Sec.18) Br,0.21800000000000003
Dombivli Br,0.21400000000000002
Delhi(Roop Nagar),0.21200000000000002
Surat(Rander Rd) Br,0.21000000000000002
Delhi(Janakpuri) Br,0.21000000000000002
Santacruz Br,0.21000000000000002
Mira Road Br,0.20800000000000002
Haryana(Faridabad) Br,0.20800000000000002
Panvel Br,0.20600000000000002
Pune(Station Rd) Br,0.20600000000000002
Ahmedabad(Dev Arc) Br,0.202
Pune(Solapur Rd) Br,0.202
Ts(Kothapet),0.2
Delhi(Pitampura) Br,0.198
Thane Br,0.196
Pune(Dhankawadi-Satara Rd),0.188
Haryana(Gurgaon) Br,0.188
Ghodbunder Br,0.186
Pune(Rahatni) Br,0.186
Mahim Br,0.182
Kalyan(Khadakpada),0.182
Surat(Varachha) Br,0.18
Surat(Parvat Patiya),0.18
Haryana(Jacobpura) Br,0.178
Ts(Tolichowki- Aditya Ngr),0.178
Ahmedabad(Odhav) Br,0.17200000000000001
